Algoritmo,Precision,Recall,F1
ET,0.6490013254719137,0.6481108526862115,0.6293609670029962
LR,0.6505518990813107,0.6975344916521387,0.6580082963441284
MLP,0.6036249371543488,0.6405059467456349,0.6024786400048426
MNB,0.5603080579551167,0.6156767777027922,0.5645266107019705
PA,0.6321897710133004,0.6892237893084676,0.6396840463612549
SGD,0.635677818913113,0.6769284136204109,0.6366434391099144
SVM,0.5208960647195942,0.6277285677678067,0.5349354666685798
