Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
SGD,smote_1,150,6,Sun Jun 20 18:56:29 2021,Sun Jun 20 19:07:57 2021,0h:11m:27s,95%,"OrderedDict([('alpha', 0.00010043284310246984), ('average', False), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 0.6369293933051002), ('fit_intercept', True), ('l1_ratio', 0.030667039291688004), ('learning_rate', 'adaptive'), ('loss', 'hinge'), ('max_iter', 823), ('n_iter_no_change', 6), ('n_jobs', -1), ('penalty', 'elasticnet'), ('power_t', 0.005874306412895932), ('shuffle', False), ('tol', 0.0009996820121841467), ('validation_fraction', 0.14133521049628045), ('warm_start', True)])"
SGD,smote_2,150,6,Sun Jun 20 20:02:33 2021,Sun Jun 20 20:13:16 2021,0h:10m:43s,95%,"OrderedDict([('alpha', 0.0001), ('average', True), ('early_stopping', True), ('epsilon', 0.01), ('eta0', 10.0), ('fit_intercept', False), ('l1_ratio', 0.0), ('learning_rate', 'optimal'), ('loss', 'hinge'), ('max_iter', 20), ('n_iter_no_change', 5), ('n_jobs', -1), ('penalty', 'elasticnet'), ('power_t', 0.1), ('shuffle', True), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', False)])"
SGD,smote_3,150,6,Sun Jun 20 21:06:13 2021,Sun Jun 20 21:17:24 2021,0h:11m:10s,94%,"OrderedDict([('alpha', 0.0001), ('average', False), ('early_stopping', True), ('epsilon', 0.479153640545313), ('eta0', 0.01), ('fit_intercept', True), ('l1_ratio', 0.5336730764457956), ('learning_rate', 'optimal'), ('loss', 'log'), ('max_iter', 93), ('n_iter_no_change', 10), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.02987569160535382), ('shuffle', False), ('tol', 1e-05), ('validation_fraction', 0.10793581759989063), ('warm_start', False)])"
SGD,smote_4,150,6,Sun Jun 20 22:09:34 2021,Sun Jun 20 22:20:12 2021,0h:10m:37s,94%,"OrderedDict([('alpha', 0.0001), ('average', False), ('early_stopping', True), ('epsilon', 0.01), ('eta0', 10.0), ('fit_intercept', True), ('l1_ratio', 0.9845347180810817), ('learning_rate', 'adaptive'), ('loss', 'hinge'), ('max_iter', 20), ('n_iter_no_change', 9), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.1), ('shuffle', True), ('tol', 1e-05), ('validation_fraction', 0.1789143582192901), ('warm_start', False)])"
SGD,smote_5,150,6,Sun Jun 20 23:16:43 2021,Sun Jun 20 23:28:55 2021,0h:12m:11s,95%,"OrderedDict([('alpha', 0.01), ('average', False), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 0.01), ('fit_intercept', True), ('l1_ratio', 0.0), ('learning_rate', 'optimal'), ('loss', 'perceptron'), ('max_iter', 732), ('n_iter_no_change', 5), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.08246315812776206), ('shuffle', True), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', True)])"
SGD,smote_6,150,6,Mon Jun 21 00:24:50 2021,Mon Jun 21 00:35:41 2021,0h:10m:50s,96%,"OrderedDict([('alpha', 0.0009316819030411598), ('average', False), ('early_stopping', True), ('epsilon', 0.5814377160871342), ('eta0', 5.556372897819388), ('fit_intercept', True), ('l1_ratio', 0.15398118104187455), ('learning_rate', 'optimal'), ('loss', 'modified_huber'), ('max_iter', 991), ('n_iter_no_change', 10), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.0014320595424219267), ('shuffle', True), ('tol', 0.0005903566256207401), ('validation_fraction', 0.1048508651310901), ('warm_start', False)])"
