classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,102,100
FT,4,14,11,100,100,98,100
L,3,12,10,100,100,98,100
LF,10,39,30,100,100,109,100
MN,5,19,11,100,100,98,100
O,15,62,48,100,100,100,100
PE,13,54,49,100,100,98,99
PO,3,9,9,100,100,101,100
SC,4,18,14,100,100,101,100
SE,25,100,88,100,100,100,97
US,17,68,56,100,100,107,98
total,105,420,348,1100,1100,1112,1094
