classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,21,100,100,99,100
FT,4,14,10,100,100,106,100
L,3,12,10,100,100,99,100
LF,10,39,35,100,100,102,99
MN,5,19,12,100,100,99,100
O,15,62,50,100,100,109,99
PE,13,54,47,100,100,104,100
PO,3,9,9,100,100,102,100
SC,4,18,15,100,100,102,100
SE,25,100,92,100,100,100,100
US,17,68,59,100,100,110,98
total,105,420,360,1100,1100,1132,1096
