classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,101,100
FT,4,14,13,100,100,100,100
L,3,12,10,100,100,99,100
LF,10,39,35,100,100,110,100
MN,5,19,12,100,100,95,100
O,15,62,48,100,100,106,99
PE,13,54,50,100,100,98,99
PO,3,9,9,100,100,99,100
SC,4,18,17,100,100,100,100
SE,25,100,93,100,100,100,99
US,17,68,57,100,100,101,99
total,105,420,366,1100,1100,1109,1096
