classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,104,100
FT,4,14,12,100,100,102,100
L,3,12,11,100,100,100,100
LF,10,39,35,100,100,107,100
MN,5,19,13,100,100,94,100
O,15,62,50,100,100,107,100
PE,13,54,45,100,100,99,98
PO,3,9,9,100,100,98,100
SC,4,18,14,100,100,101,100
SE,25,100,90,100,100,100,98
US,17,68,56,100,100,104,100
total,105,420,358,1100,1100,1116,1096
