classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,103,100
FT,4,14,12,100,100,102,100
L,3,12,10,100,100,100,100
LF,10,39,32,100,100,110,100
MN,5,19,13,100,100,96,100
O,15,62,49,100,100,105,100
PE,13,54,46,100,100,101,100
PO,3,9,9,100,100,100,100
SC,4,18,14,100,100,97,100
SE,25,100,86,100,100,100,99
US,17,68,56,100,100,111,99
total,105,420,350,1100,1100,1125,1098
