classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,96,100
FT,4,14,13,100,100,98,100
L,3,12,10,100,100,98,100
LF,10,39,33,100,100,107,100
MN,5,19,14,100,100,98,100
O,15,62,51,100,100,107,100
PE,13,54,47,100,100,101,98
PO,3,9,9,100,100,98,100
SC,4,18,16,100,100,102,100
SE,25,100,93,100,100,100,98
US,17,68,59,100,100,105,100
total,105,420,367,1100,1100,1110,1096
