classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,96,100
FT,4,14,12,100,100,99,100
L,3,12,11,100,100,98,100
LF,10,39,32,100,100,102,100
MN,5,19,12,100,100,99,100
O,15,62,48,100,100,111,100
PE,13,54,48,100,100,100,98
PO,3,9,9,100,100,100,100
SC,4,18,13,100,100,103,100
SE,25,100,90,100,100,100,97
US,17,68,59,100,100,106,99
total,105,420,356,1100,1100,1114,1094
