classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,99,100
FT,4,14,13,100,100,98,100
L,3,12,11,100,100,98,100
LF,10,39,33,100,100,106,99
MN,5,19,12,100,100,94,100
O,15,62,52,100,100,111,100
PE,13,54,47,100,100,98,99
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,100,100
SE,25,100,95,100,100,100,98
US,17,68,57,100,100,107,98
total,105,420,367,1100,1100,1111,1094
