classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,98,100
FT,4,14,9,100,100,99,100
L,3,12,10,100,100,100,100
LF,10,39,35,100,100,104,100
MN,5,19,14,100,100,95,100
O,15,62,53,100,100,109,99
PE,13,54,48,100,100,98,99
PO,3,9,9,100,100,98,100
SC,4,18,15,100,100,103,100
SE,25,100,92,100,100,100,99
US,17,68,58,100,100,104,99
total,105,420,367,1100,1100,1108,1096
