classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,101,100
FT,4,14,13,100,100,101,100
L,3,12,10,100,100,101,100
LF,10,39,32,100,100,107,100
MN,5,19,14,100,100,97,100
O,15,62,49,100,100,112,99
PE,13,54,47,100,100,102,99
PO,3,9,9,100,100,100,100
SC,4,18,14,100,100,101,100
SE,25,100,90,100,100,100,98
US,17,68,58,100,100,107,98
total,105,420,358,1100,1100,1129,1094
