classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,103,100
FT,4,14,12,100,100,103,100
L,3,12,11,100,100,96,100
LF,10,39,35,100,100,102,100
MN,5,19,13,100,100,96,100
O,15,62,50,100,100,108,100
PE,13,54,45,100,100,96,100
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,97,99
SE,25,100,91,100,100,100,100
US,17,68,58,100,100,106,99
total,105,420,362,1100,1100,1107,1098
