classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,21,100,100,103,100
FT,4,14,12,100,100,98,100
L,3,12,11,100,100,100,100
LF,10,39,34,100,100,110,100
MN,5,19,11,100,100,93,100
O,15,62,50,100,100,116,100
PE,13,54,49,100,100,97,100
PO,3,9,9,100,100,98,100
SC,4,18,14,100,100,104,100
SE,25,100,91,100,100,100,99
US,17,68,59,100,100,104,99
total,105,420,361,1100,1100,1123,1098
