classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,103,100
FT,4,14,12,100,100,98,100
L,3,12,11,100,100,99,100
LF,10,39,34,100,100,109,100
MN,5,19,14,100,100,95,100
O,15,62,51,100,100,111,100
PE,13,54,48,100,100,103,99
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,100,100
SE,25,100,94,100,100,100,98
US,17,68,57,100,100,106,99
total,105,420,369,1100,1100,1124,1096
