Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
ET,tomek_1,150,6,Sun Jun 20 02:00:03 2021,Sun Jun 20 02:17:33 2021,0h:17m:29s,58%,"OrderedDict([('criterion', 'gini'), ('max_depth', 109), ('max_features', 'log2'), ('max_leaf_nodes', 150), ('max_samples', 0.7483704271395348), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 272), ('warm_start', True)])"
ET,tomek_2,150,6,Sun Jun 20 03:54:43 2021,Sun Jun 20 04:12:36 2021,0h:17m:52s,59%,"OrderedDict([('criterion', 'gini'), ('max_depth', 120), ('max_features', 'auto'), ('max_leaf_nodes', 114), ('max_samples', 0.5165953258223006), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 150), ('warm_start', False)])"
ET,tomek_3,150,6,Sun Jun 20 05:52:23 2021,Sun Jun 20 06:10:31 2021,0h:18m:8s,67%,"OrderedDict([('criterion', 'gini'), ('max_depth', 106), ('max_features', 'log2'), ('max_leaf_nodes', 150), ('max_samples', 0.01), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1100), ('warm_start', True)])"
ET,tomek_4,150,6,Sun Jun 20 07:47:51 2021,Sun Jun 20 08:06:58 2021,0h:19m:6s,65%,"OrderedDict([('criterion', 'gini'), ('max_depth', 120), ('max_features', 'log2'), ('max_leaf_nodes', 150), ('max_samples', 0.9), ('min_samples_leaf', 1), ('min_samples_split', 6), ('n_estimators', 1100), ('warm_start', False)])"
ET,tomek_5,150,6,Sun Jun 20 09:40:16 2021,Sun Jun 20 09:59:45 2021,0h:19m:29s,55%,"OrderedDict([('criterion', 'gini'), ('max_depth', 52), ('max_features', 'auto'), ('max_leaf_nodes', 150), ('max_samples', 0.9), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1100), ('warm_start', False)])"
ET,tomek_6,150,6,Sun Jun 20 11:31:41 2021,Sun Jun 20 11:44:48 2021,0h:13m:6s,61%,"OrderedDict([('criterion', 'gini'), ('max_depth', 77), ('max_features', 'log2'), ('max_leaf_nodes', 150), ('max_samples', 0.8960801799325101), ('min_samples_leaf', 1), ('min_samples_split', 19), ('n_estimators', 881), ('warm_start', True)])"
