Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
MLP,adasyn_1,150,6,Sat Jun 19 23:57:43 2021,Sun Jun 20 00:16:26 2021,0h:18m:42s,96%,"OrderedDict([('activation', 'relu'), ('batch_size', 61), ('early_stopping', True), ('hidden_layer_sizes', 20), ('learning_rate_init', 0.041152781538923704), ('max_iter', 500), ('n_iter_no_change', 5), ('solver', 'adam'), ('tol', 0.0004574818735110933), ('validation_fraction', 0.1), ('warm_start', True)])"
MLP,adasyn_2,150,6,Sun Jun 20 01:37:42 2021,Sun Jun 20 01:54:24 2021,0h:16m:42s,97%,"OrderedDict([('activation', 'relu'), ('batch_size', 480), ('early_stopping', True), ('hidden_layer_sizes', 250), ('learning_rate_init', 0.04345134430445162), ('max_iter', 20), ('n_iter_no_change', 5), ('solver', 'adam'), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', True)])"
MLP,adasyn_3,150,6,Sun Jun 20 03:18:06 2021,Sun Jun 20 03:37:46 2021,0h:19m:39s,97%,"OrderedDict([('activation', 'tanh'), ('batch_size', 290), ('early_stopping', True), ('hidden_layer_sizes', 178), ('learning_rate_init', 0.05442789415462871), ('max_iter', 20), ('n_iter_no_change', 5), ('solver', 'adam'), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', True)])"
MLP,adasyn_4,150,6,Sun Jun 20 05:09:32 2021,Sun Jun 20 05:26:50 2021,0h:17m:17s,97%,"OrderedDict([('activation', 'relu'), ('batch_size', 272), ('early_stopping', True), ('hidden_layer_sizes', 248), ('learning_rate_init', 0.04040998988673919), ('max_iter', 175), ('n_iter_no_change', 10), ('solver', 'adam'), ('tol', 0.0009352249492246687), ('validation_fraction', 0.10572545142084708), ('warm_start', True)])"
MLP,adasyn_5,150,6,Sun Jun 20 06:48:39 2021,Sun Jun 20 07:03:31 2021,0h:14m:51s,97%,"OrderedDict([('activation', 'relu'), ('batch_size', 32), ('early_stopping', True), ('hidden_layer_sizes', 206), ('learning_rate_init', 0.010376110196856126), ('max_iter', 500), ('n_iter_no_change', 5), ('solver', 'adam'), ('tol', 1e-05), ('validation_fraction', 0.11223637781104781), ('warm_start', False)])"
MLP,adasyn_6,150,6,Sun Jun 20 08:08:27 2021,Sun Jun 20 08:22:35 2021,0h:14m:8s,97%,"OrderedDict([('activation', 'relu'), ('batch_size', 480), ('early_stopping', True), ('hidden_layer_sizes', 20), ('learning_rate_init', 0.1), ('max_iter', 20), ('n_iter_no_change', 10), ('solver', 'adam'), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', True)])"
