classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,97,100
FT,4,14,11,100,100,96,100
L,3,12,10,100,100,102,100
LF,10,39,35,100,100,109,100
MN,5,19,12,100,100,98,100
O,15,62,50,100,100,106,100
PE,13,54,47,100,100,99,99
PO,3,9,9,100,100,101,100
SC,4,18,15,100,100,100,100
SE,25,100,90,100,100,100,98
US,17,68,54,100,100,104,99
total,105,420,356,1100,1100,1112,1096
