classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,96,100
FT,4,14,14,100,100,95,100
L,3,12,11,100,100,98,100
LF,10,39,35,100,100,101,100
MN,5,19,12,100,100,96,100
O,15,62,50,100,100,114,99
PE,13,54,49,100,100,105,100
PO,3,9,9,100,100,102,100
SC,4,18,16,100,100,102,100
SE,25,100,93,100,100,100,99
US,17,68,56,100,100,104,98
total,105,420,367,1100,1100,1113,1096
