classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,21,100,100,98,100
FT,4,14,12,100,100,101,100
L,3,12,10,100,100,104,100
LF,10,39,31,100,100,110,99
MN,5,19,13,100,100,97,100
O,15,62,50,100,100,110,100
PE,13,54,47,100,100,102,99
PO,3,9,9,100,100,100,100
SC,4,18,14,100,100,103,100
SE,25,100,94,100,100,100,99
US,17,68,58,100,100,105,99
total,105,420,359,1100,1100,1130,1096
