classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,103,100
FT,4,14,9,100,100,103,100
L,3,12,10,100,100,99,100
LF,10,39,33,100,100,103,100
MN,5,19,12,100,100,96,100
O,15,62,52,100,100,105,100
PE,13,54,45,100,100,102,98
PO,3,9,9,100,100,101,100
SC,4,18,14,100,100,104,100
SE,25,100,91,100,100,100,97
US,17,68,58,100,100,109,99
total,105,420,357,1100,1100,1125,1094
