classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,102,100
FT,4,14,11,100,100,97,100
L,3,12,11,100,100,100,100
LF,10,39,33,100,100,106,100
MN,5,19,13,100,100,93,100
O,15,62,48,100,100,114,100
PE,13,54,48,100,100,103,98
PO,3,9,9,100,100,102,100
SC,4,18,14,100,100,101,100
SE,25,100,89,100,100,100,98
US,17,68,56,100,100,100,100
total,105,420,355,1100,1100,1118,1096
