classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,96,99
FT,4,14,11,100,100,99,100
L,3,12,12,100,100,100,100
LF,10,39,33,100,100,103,100
MN,5,19,13,100,100,95,100
O,15,62,50,100,100,100,99
PE,13,54,46,100,100,99,100
PO,3,9,9,100,100,99,100
SC,4,18,14,100,100,97,100
SE,25,100,91,100,100,100,97
US,17,68,58,100,100,88,99
total,105,420,360,1100,1100,1076,1094
