classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,104,100
FT,4,14,11,100,100,101,100
L,3,12,10,100,100,102,100
LF,10,39,33,100,100,111,100
MN,5,19,11,100,100,102,100
O,15,62,50,100,100,116,99
PE,13,54,47,100,100,102,98
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,101,100
SE,25,100,90,100,100,100,98
US,17,68,59,100,100,102,99
total,105,420,357,1100,1100,1141,1094
