classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,97,100
FT,4,14,11,100,100,98,100
L,3,12,11,100,100,99,100
LF,10,39,34,100,100,106,99
MN,5,19,13,100,100,94,100
O,15,62,47,100,100,108,99
PE,13,54,48,100,100,98,99
PO,3,9,9,100,100,100,100
SC,4,18,17,100,100,98,100
SE,25,100,88,100,100,100,98
US,17,68,57,100,100,104,99
total,105,420,357,1100,1100,1102,1094
