Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
PA,smote_1,150,6,Sun Jun 20 15:13:18 2021,Sun Jun 20 15:18:37 2021,0h:5m:18s,95%,"OrderedDict([('C', 0.18841881028384935), ('early_stopping', True), ('fit_intercept', True), ('loss', 'squared_hinge'), ('max_iter', 966), ('n_iter_no_change', 6), ('n_jobs', -1), ('tol', 3.761599273154863e-05), ('validation_fraction', 0.1012026435580281), ('warm_start', True)])"
PA,smote_2,150,6,Sun Jun 20 15:47:21 2021,Sun Jun 20 15:52:15 2021,0h:4m:54s,95%,"OrderedDict([('C', 0.2322007797875584), ('early_stopping', True), ('fit_intercept', True), ('loss', 'squared_hinge'), ('max_iter', 863), ('n_iter_no_change', 9), ('n_jobs', -1), ('tol', 0.0009549214321360093), ('validation_fraction', 0.10140826993151152), ('warm_start', True)])"
PA,smote_3,150,6,Sun Jun 20 16:20:24 2021,Sun Jun 20 16:25:29 2021,0h:5m:5s,95%,"OrderedDict([('C', 1.2), ('early_stopping', True), ('fit_intercept', True), ('loss', 'squared_hinge'), ('max_iter', 20), ('n_iter_no_change', 8), ('n_jobs', -1), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', True)])"
PA,smote_4,150,6,Sun Jun 20 16:52:26 2021,Sun Jun 20 16:57:29 2021,0h:5m:2s,97%,"OrderedDict([('C', 1.2), ('early_stopping', True), ('fit_intercept', False), ('loss', 'squared_hinge'), ('max_iter', 1000), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', False)])"
PA,smote_5,150,6,Sun Jun 20 17:25:21 2021,Sun Jun 20 17:30:31 2021,0h:5m:9s,96%,"OrderedDict([('C', 1.2), ('early_stopping', True), ('fit_intercept', True), ('loss', 'hinge'), ('max_iter', 20), ('n_iter_no_change', 5), ('n_jobs', -1), ('tol', 0.001), ('validation_fraction', 0.1), ('warm_start', False)])"
PA,smote_6,150,6,Sun Jun 20 17:58:27 2021,Sun Jun 20 18:03:42 2021,0h:5m:14s,95%,"OrderedDict([('C', 0.486217851394688), ('early_stopping', True), ('fit_intercept', True), ('loss', 'hinge'), ('max_iter', 1000), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 0.001), ('validation_fraction', 0.1391559744191133), ('warm_start', False)])"
