Algoritmo,Precision,Recall,F1
ET,0.6432684309154898,0.6533102224803081,0.6246686039363849
LR,0.6240762831939303,0.6604156176062622,0.6240645215511175
MLP,0.5848231180584121,0.6748633621494585,0.602703717740897
MNB,0.5965295488824901,0.6096615942139936,0.5925987789880877
PA,0.6136279080396726,0.655325011388185,0.6174878588190787
SGD,0.616163901458019,0.6737659448195763,0.617332271727363
SVM,0.5766264454499749,0.6446990121795172,0.5915297252207407
