Algoritmo,Precision,Recall,F1
ET,0.5455608117372824,0.7026497488923606,0.5799724772965834
LR,0.584923899629782,0.6014343101693397,0.5776547546786273
MLP,0.5557662598839069,0.5842531974124299,0.5543076346687141
MNB,0.5657134695369989,0.5698580073468463,0.5545686529290587
PA,0.5752417843594314,0.6128188464725373,0.5747636832459578
SGD,0.5526038667215138,0.6224961641767067,0.5610272959841768
SVM,0.5694981489099136,0.6487359610265923,0.5871242436840817
