classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,98,100
FT,4,14,13,100,100,102,100
L,3,12,10,100,100,100,100
LF,10,39,32,100,100,106,100
MN,5,19,13,100,100,98,100
O,15,62,51,100,100,109,100
PE,13,54,44,100,100,100,99
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,101,100
SE,25,100,90,100,100,100,99
US,17,68,56,100,100,105,100
total,105,420,357,1100,1100,1119,1098
