classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,105,100
FT,4,14,13,100,100,104,100
L,3,12,11,100,100,100,100
LF,10,39,34,100,100,102,100
MN,5,19,13,100,100,96,100
O,15,62,50,100,100,115,100
PE,13,54,48,100,100,95,100
PO,3,9,9,100,100,98,100
SC,4,18,16,100,100,102,100
SE,25,100,92,100,100,100,100
US,17,68,60,100,100,104,100
total,105,420,369,1100,1100,1121,1100
