classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,104,100
FT,4,14,12,100,100,98,100
L,3,12,10,100,100,104,100
LF,10,39,35,100,100,106,100
MN,5,19,14,100,100,96,100
O,15,62,50,100,100,112,100
PE,13,54,44,100,100,105,98
PO,3,9,9,100,100,102,100
SC,4,18,15,100,100,101,99
SE,25,100,93,100,100,100,99
US,17,68,55,100,100,108,98
total,105,420,361,1100,1100,1136,1094
