classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,96,100
FT,4,14,12,100,100,101,100
L,3,12,10,100,100,98,100
LF,10,39,37,100,100,110,100
MN,5,19,15,100,100,98,100
O,15,62,54,100,100,110,100
PE,13,54,44,100,100,95,98
PO,3,9,9,100,100,100,100
SC,4,18,15,100,100,100,100
SE,25,100,89,100,100,100,97
US,17,68,60,100,100,105,99
total,105,420,367,1100,1100,1113,1094
