Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
PA,tomek_1,150,6,Thu Jun 17 16:16:08 2021,Thu Jun 17 16:24:01 2021,0h:7m:52s,65%,"OrderedDict([('C', 0.1), ('early_stopping', True), ('fit_intercept', True), ('loss', 'squared_hinge'), ('max_iter', 394), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 1e-05), ('validation_fraction', 0.2), ('warm_start', False)])"
PA,tomek_2,150,6,Thu Jun 17 16:56:20 2021,Thu Jun 17 17:02:59 2021,0h:6m:39s,69%,"OrderedDict([('C', 1.1955195081161027), ('early_stopping', True), ('fit_intercept', True), ('loss', 'hinge'), ('max_iter', 134), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 0.0008353885489827297), ('validation_fraction', 0.11228908453974916), ('warm_start', False)])"
PA,tomek_3,150,6,Thu Jun 17 17:36:16 2021,Thu Jun 17 17:43:40 2021,0h:7m:24s,65%,"OrderedDict([('C', 1.2), ('early_stopping', True), ('fit_intercept', False), ('loss', 'hinge'), ('max_iter', 1000), ('n_iter_no_change', 10), ('n_jobs', -1), ('tol', 0.0007372891367562412), ('validation_fraction', 0.1), ('warm_start', False)])"
PA,tomek_4,150,6,Thu Jun 17 18:15:47 2021,Thu Jun 17 18:23:09 2021,0h:7m:22s,63%,"OrderedDict([('C', 0.8202304923884319), ('early_stopping', True), ('fit_intercept', False), ('loss', 'squared_hinge'), ('max_iter', 953), ('n_iter_no_change', 7), ('n_jobs', -1), ('tol', 0.0009547156547967351), ('validation_fraction', 0.1011883770862403), ('warm_start', False)])"
PA,tomek_5,150,6,Thu Jun 17 18:54:14 2021,Thu Jun 17 19:00:58 2021,0h:6m:43s,61%,"OrderedDict([('C', 0.5129688848453079), ('early_stopping', True), ('fit_intercept', False), ('loss', 'hinge'), ('max_iter', 88), ('n_iter_no_change', 6), ('n_jobs', -1), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', True)])"
PA,tomek_6,150,6,Thu Jun 17 19:32:29 2021,Thu Jun 17 19:39:07 2021,0h:6m:38s,59%,"OrderedDict([('C', 1.2), ('early_stopping', True), ('fit_intercept', True), ('loss', 'squared_hinge'), ('max_iter', 1000), ('n_iter_no_change', 5), ('n_jobs', -1), ('tol', 1e-05), ('validation_fraction', 0.14185082123468604), ('warm_start', True)])"
