Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
MLP,bdsmote_1,150,6,Sun Jun 20 00:16:27 2021,Sun Jun 20 00:34:51 2021,0h:18m:24s,95%,"OrderedDict([('activation', 'relu'), ('batch_size', 480), ('early_stopping', True), ('hidden_layer_sizes', 116), ('learning_rate_init', 0.07555186113098289), ('max_iter', 500), ('n_iter_no_change', 10), ('solver', 'adam'), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', False)])"
MLP,bdsmote_2,150,6,Sun Jun 20 01:54:25 2021,Sun Jun 20 02:11:54 2021,0h:17m:28s,95%,"OrderedDict([('activation', 'relu'), ('batch_size', 32), ('early_stopping', True), ('hidden_layer_sizes', 20), ('learning_rate_init', 0.04200605778426961), ('max_iter', 373), ('n_iter_no_change', 9), ('solver', 'adam'), ('tol', 0.0009041414766650641), ('validation_fraction', 0.14765278625823042), ('warm_start', True)])"
MLP,bdsmote_3,150,6,Sun Jun 20 03:37:47 2021,Sun Jun 20 03:52:41 2021,0h:14m:53s,95%,"OrderedDict([('activation', 'relu'), ('batch_size', 33), ('early_stopping', True), ('hidden_layer_sizes', 116), ('learning_rate_init', 0.004153560963674483), ('max_iter', 33), ('n_iter_no_change', 6), ('solver', 'adam'), ('tol', 9.39268697986077e-05), ('validation_fraction', 0.11945717731885565), ('warm_start', False)])"
MLP,bdsmote_4,150,6,Sun Jun 20 05:26:51 2021,Sun Jun 20 05:43:59 2021,0h:17m:7s,96%,"OrderedDict([('activation', 'tanh'), ('batch_size', 104), ('early_stopping', True), ('hidden_layer_sizes', 250), ('learning_rate_init', 0.01663713342496952), ('max_iter', 100), ('n_iter_no_change', 10), ('solver', 'adam'), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', False)])"
MLP,bdsmote_5,150,6,Sun Jun 20 07:03:32 2021,Sun Jun 20 07:16:31 2021,0h:12m:59s,95%,"OrderedDict([('activation', 'relu'), ('batch_size', 479), ('early_stopping', True), ('hidden_layer_sizes', 213), ('learning_rate_init', 0.09115277742854434), ('max_iter', 265), ('n_iter_no_change', 6), ('solver', 'adam'), ('tol', 0.00039068415221238227), ('validation_fraction', 0.11572395265051315), ('warm_start', False)])"
MLP,bdsmote_6,150,6,Sun Jun 20 08:22:36 2021,Sun Jun 20 08:39:06 2021,0h:16m:30s,96%,"OrderedDict([('activation', 'relu'), ('batch_size', 32), ('early_stopping', True), ('hidden_layer_sizes', 250), ('learning_rate_init', 0.001718954138388502), ('max_iter', 500), ('n_iter_no_change', 5), ('solver', 'adam'), ('tol', 0.001), ('validation_fraction', 0.14778848999266764), ('warm_start', True)])"
