classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,22,100,100,99,100
FT,4,14,13,100,100,101,100
L,3,12,9,100,100,100,100
LF,10,39,32,100,100,106,100
MN,5,19,15,100,100,98,100
O,15,62,51,100,100,111,99
PE,13,54,46,100,100,98,100
PO,3,9,9,100,100,102,100
SC,4,18,14,100,100,101,100
SE,25,100,90,100,100,100,99
US,17,68,56,100,100,106,98
total,105,420,357,1100,1100,1122,1096
