classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,100,100
FT,4,14,12,100,100,105,100
L,3,12,9,100,100,98,100
LF,10,39,36,100,100,106,100
MN,5,19,14,100,100,93,100
O,15,62,53,100,100,108,100
PE,13,54,46,100,100,100,98
PO,3,9,9,100,100,100,100
SC,4,18,16,100,100,101,100
SE,25,100,96,100,100,100,99
US,17,68,56,100,100,109,99
total,105,420,371,1100,1100,1120,1096
