classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,104,100
FT,4,14,11,100,100,99,100
L,3,12,10,100,100,102,100
LF,10,39,34,100,100,106,100
MN,5,19,13,100,100,97,100
O,15,62,51,100,100,115,99
PE,13,54,47,100,100,97,95
PO,3,9,9,100,100,102,100
SC,4,18,17,100,100,99,100
SE,25,100,90,100,100,100,96
US,17,68,60,100,100,109,98
total,105,420,365,1100,1100,1130,1088
