classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,24,100,100,96,100
FT,4,14,13,100,100,100,100
L,3,12,11,100,100,102,100
LF,10,39,33,100,100,91,100
MN,5,19,16,100,100,98,100
O,15,62,49,100,100,108,100
PE,13,54,48,100,100,96,99
PO,3,9,9,100,100,102,100
SC,4,18,17,100,100,102,100
SE,25,100,91,100,100,100,97
US,17,68,56,100,100,111,98
total,105,420,367,1100,1100,1106,1094
