classes,test,origin,tomek,smote,bdsmote,adasyn,smotetomek
A,6,25,23,100,100,98,100
FT,4,14,10,100,100,96,100
L,3,12,10,100,100,102,100
LF,10,39,33,100,100,110,100
MN,5,19,12,100,100,98,100
O,15,62,49,100,100,115,100
PE,13,54,46,100,100,99,99
PO,3,9,9,100,100,98,100
SC,4,18,15,100,100,99,100
SE,25,100,89,100,100,100,99
US,17,68,57,100,100,108,100
total,105,420,353,1100,1100,1123,1098
