Algorithm,DataSample,n_inter,n_div,Initial Date/Hour,Final Date/Hour,Execution time,f1-score Macro,Params
SGD,smotetomek_1,150,6,Thu Jun 17 22:40:41 2021,Thu Jun 17 22:54:57 2021,0h:14m:16s,95%,"OrderedDict([('alpha', 0.0001), ('average', True), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 10.0), ('fit_intercept', False), ('l1_ratio', 0.0), ('learning_rate', 'optimal'), ('loss', 'hinge'), ('max_iter', 20), ('n_iter_no_change', 5), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.1), ('shuffle', True), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', True)])"
SGD,smotetomek_2,150,6,Fri Jun 18 00:06:24 2021,Fri Jun 18 00:18:31 2021,0h:12m:6s,96%,"OrderedDict([('alpha', 0.0001), ('average', True), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 10.0), ('fit_intercept', True), ('l1_ratio', 0.7484663648761989), ('learning_rate', 'optimal'), ('loss', 'hinge'), ('max_iter', 549), ('n_iter_no_change', 10), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.07592703408803009), ('shuffle', False), ('tol', 0.00011165012566155079), ('validation_fraction', 0.1692832466180385), ('warm_start', True)])"
SGD,smotetomek_3,150,6,Fri Jun 18 01:26:25 2021,Fri Jun 18 01:38:57 2021,0h:12m:32s,95%,"OrderedDict([('alpha', 0.0001), ('average', True), ('early_stopping', True), ('epsilon', 0.2648974046247281), ('eta0', 0.6637738005881644), ('fit_intercept', False), ('l1_ratio', 0.0), ('learning_rate', 'adaptive'), ('loss', 'hinge'), ('max_iter', 1000), ('n_iter_no_change', 10), ('n_jobs', -1), ('penalty', 'l1'), ('power_t', 0.0), ('shuffle', False), ('tol', 0.001), ('validation_fraction', 0.13625868817055378), ('warm_start', True)])"
SGD,smotetomek_4,150,6,Fri Jun 18 02:46:40 2021,Fri Jun 18 03:00:10 2021,0h:13m:30s,96%,"OrderedDict([('alpha', 0.0001), ('average', True), ('early_stopping', True), ('epsilon', 0.6228833972427302), ('eta0', 5.877136067315696), ('fit_intercept', True), ('l1_ratio', 0.0), ('learning_rate', 'invscaling'), ('loss', 'log'), ('max_iter', 1000), ('n_iter_no_change', 6), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.04185559842066428), ('shuffle', False), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', False)])"
SGD,smotetomek_5,150,6,Fri Jun 18 04:11:50 2021,Fri Jun 18 04:26:52 2021,0h:15m:2s,95%,"OrderedDict([('alpha', 0.0001), ('average', False), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 1.702926640787329), ('fit_intercept', True), ('l1_ratio', 0.0), ('learning_rate', 'invscaling'), ('loss', 'modified_huber'), ('max_iter', 1000), ('n_iter_no_change', 5), ('n_jobs', -1), ('penalty', 'elasticnet'), ('power_t', 0.0), ('shuffle', True), ('tol', 1e-05), ('validation_fraction', 0.1), ('warm_start', True)])"
SGD,smotetomek_6,150,6,Fri Jun 18 07:20:38 2021,Fri Jun 18 07:36:31 2021,0h:15m:53s,95%,"OrderedDict([('alpha', 0.0001), ('average', False), ('early_stopping', True), ('epsilon', 1.0), ('eta0', 5.611114815369475), ('fit_intercept', True), ('l1_ratio', 0.0), ('learning_rate', 'optimal'), ('loss', 'hinge'), ('max_iter', 132), ('n_iter_no_change', 7), ('n_jobs', -1), ('penalty', 'l2'), ('power_t', 0.006035260380998311), ('shuffle', False), ('tol', 0.00012694780019827383), ('validation_fraction', 0.2), ('warm_start', False)])"
